Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
491752,EXPRESS MART ON MICHIGAN INC.,EXPRESS MART ON MICHIGAN INC.,2064859,Grocery Store,Risk 2 (Medium),1619 S MICHIGAN AVE,CHICAGO
581088,Pizza By Alex,Pizza By Alex,2027074,Restaurant,Risk 1 (High),5040-5044 W Montrose AVE,CHICAGO
114890,UNION LEAGUE CLUB,WIGWAM ROOM,43329,Restaurant,Risk 1 (High),65 W JACKSON BLVD,CHICAGO
577330,"RIBS AND MORE, INC.","RIBS AND MORE, INC.",2009316,Restaurant,Risk 1 (High),8142 S KEDZIE AVE,CHICAGO
565206,WHOLE FOODS MARKET,WHOLE FOODS MARKET,1678043,Grocery Store,Risk 1 (High),1101 S CANAL ST,CHICAGO
158463,QUIK-E-MART,QUIK-E-MART,1979650,Grocery Store,Risk 2 (Medium),1735 W 79TH ST,CHICAGO
545383,GOLDEN FISH & CHICKEN,GOLDEN FISH & CHICKEN,1443524,Restaurant,Risk 2 (Medium),7127 S STATE ST,CHICAGO
381329,THE HARTWELL,THE HARTWELL,1997713,Long Term Care,Risk 1 (High),5520 N PAULINA ST,CHICAGO
529229,"POSITANOS RESTAURANT & PIZZA, INC.","POSITANOS RESTAURANT & PIZZA, INC.",1959937,Restaurant,Risk 1 (High),4844 S ASHLAND AVE,CHICAGO
547407,MCDONALD'S,MCDONALD'S,1332913,Restaurant,Risk 2 (Medium),2609 S KEDZIE AVE,CHICAGO
525319,RANALLIS,RANALLIS,1738099,Restaurant,Risk 1 (High),1508-1512 W BERWYN AVE,CHICAGO
557368,PULASKI GRILL,CHICAGO GRILL,2079752,Restaurant,Risk 1 (High),3961 W IRVING PARK RD,CHICAGO
585437,FIESTA GRILL,FIESTA GRILL,2009036,Restaurant,Risk 1 (High),2050 N MILWAUKEE AVE,CHICAGO
353317,JULIANA,JULIANA,20904,Restaurant,Risk 1 (High),3001 W PETERSON AVE,CHICAGO
166326,CARNICERIA RANCHO ALEGRE,CARNICERIA RANCHO ALEGRE,1696766,Restaurant,Risk 1 (High),1757-1759 W 18TH ST,CHICAGO
347263,SUBWAY,SUBWAY,1742947,Restaurant,Risk 1 (High),3900 W MADISON ST,CHICAGO
539240,ROMA'S ITALIAN BEEF & SAUSAGE,ROMA'S ITALIAN BEEF & SAUSAGE,76995,Restaurant,Risk 1 (High),4237 N CICERO AVE,CHICAGO
166306,"A' LA CARTE FOOD, INC","A' LA CARTE FOOD, INC.",2084121,Grocery Store,Risk 3 (Low),2620 W CERMAK RD,CHICAGO
